Time [s],Surface component 1.avg(epsX) [%]
0.000000,0.000000
1.000000,-0.077066
2.000000,0.445020
3.000000,-0.002350
4.000000,-0.013184
5.000000,-0.360417
6.000000,-0.092394
7.000000,-0.371919
8.000000,0.011890
9.000000,-0.023065
10.000000,-0.025595
11.000000,0.319935
12.000000,0.160486
13.000000,0.215638
14.000000,0.270430
15.000000,0.184337
16.000000,0.270818
17.000000,0.055295
18.000000,-0.019736
19.000000,-0.328572
20.000000,-0.343182
21.000000,0.277238
22.000000,0.243269
23.000000,0.218997
24.000000,-0.035437
25.000000,0.129459
26.000000,0.181423
27.000000,0.160873
28.000000,0.161089
29.000000,0.612086
30.000000,0.113552
31.000000,0.194940
32.000000,0.149096
33.000000,0.281741
34.000000,0.547696
35.000000,0.568627
36.000000,0.014942
37.000000,0.379665
38.000000,0.660647
39.000000,0.515427
40.000000,0.747706
41.000000,0.649371
42.000000,0.706627
43.000000,0.397951
44.000000,-0.073596
45.000000,0.307439
46.000000,0.397964
47.000000,1.005874
48.000000,0.281479
49.000000,0.392898
50.000000,0.553605
51.000000,0.417566
52.000000,0.355066
53.000000,0.569107
54.000000,0.381375
55.000000,0.183885
56.000000,0.551958
57.000000,0.912058
58.000000,-0.354054
59.000000,0.720045
60.000000,0.367902
61.000000,0.509629
62.000000,0.692691
63.000000,0.312758
64.000000,0.498427
65.000000,0.928572
66.000000,0.101527
67.000000,0.711677
68.000000,0.844774
69.000000,0.874384
70.000000,0.365888
71.000000,0.188791
72.000000,0.587642
73.000000,0.580585
74.000000,0.486832
75.000000,0.694912
76.000000,0.557764
77.000000,0.689450
78.000000,0.568195
79.000000,0.729274
80.000000,0.621368
81.000000,0.960782
82.000000,0.650330
83.000000,0.674972
84.000000,0.814147
85.000000,0.548273
86.000000,-0.339496
87.000000,0.474430
88.000000,0.729986
89.000000,0.593954
90.000000,0.378730
91.000000,1.130799
92.000000,1.007136
93.000000,0.605244
94.000000,0.821826
95.000000,0.567870
96.000000,0.839905
97.000000,0.955951
98.000000,0.582783
99.000000,0.872489
100.000000,0.804561
101.000000,1.145232
102.000000,0.840847
103.000000,0.947086
104.000000,0.661825
105.000000,0.966256
106.000000,0.439363
107.000000,0.842912
108.000000,1.656102
109.000000,0.919850
110.000000,0.910037
111.000000,1.362446
112.000000,1.246104
113.000000,0.831404
114.000000,0.818478
115.000000,1.381986
116.000000,1.172912
117.000000,1.541260
118.000000,1.508790
119.000000,1.703996
120.000000,1.736930
121.000000,1.313081
122.000000,1.378804
123.000000,1.278746
124.000000,0.784611
125.000000,1.247381
126.000000,1.415359
127.000000,1.054448
128.000000,1.197846
129.000000,1.158821
130.000000,1.206312
131.000000,1.357362
132.000000,1.324629
133.000000,1.289950
134.000000,1.154301
135.000000,1.421551
136.000000,1.296411
137.000000,0.842386
138.000000,1.344455
139.000000,1.215752
140.000000,1.074738
141.000000,1.338350
142.000000,1.493779
143.000000,1.523359
144.000000,1.431235
145.000000,1.294996
146.000000,1.647919
147.000000,1.931927
148.000000,1.538322
149.000000,1.445110
150.000000,1.527160
151.000000,1.626450
152.000000,1.411605
153.000000,1.685558
154.000000,1.169832
155.000000,1.687493
156.000000,2.144246
157.000000,1.928236
158.000000,2.000899
159.000000,1.583816
160.000000,2.335219
161.000000,1.738073
162.000000,1.054243
163.000000,1.939541
164.000000,2.036698
165.000000,1.352178
166.000000,2.137251
167.000000,1.590304
168.000000,1.753825
169.000000,1.928391
170.000000,1.980841
171.000000,2.213124
172.000000,2.162681
173.000000,1.550462
174.000000,1.484522
175.000000,1.828175
176.000000,1.887421
177.000000,2.148180
178.000000,2.142807
179.000000,1.969536
180.000000,2.040175
181.000000,2.140565
182.000000,2.080818
183.000000,1.986069
184.000000,2.060875
185.000000,2.337211
186.000000,2.649524
187.000000,2.480694
188.000000,2.359582
189.000000,2.036818
190.000000,1.852225
191.000000,2.357706
192.000000,2.326984
193.000000,2.585912
194.000000,0.733560
195.000000,0.373269
